This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200206  ,-1.58  ,-2.10  ,-5.48  ,-4.21  ,-6.41  ,-5.96
200207 ,-10.39  ,-7.99 ,-11.35  ,-9.33  ,-7.83  ,-8.57
200208  ,-0.97  ,-0.15  ,-0.62  ,-0.15   ,0.65   ,0.64
200209  ,-7.83  ,-6.13  ,-8.53 ,-11.07 ,-10.68  ,-9.94
200210   ,0.50   ,0.20   ,1.33   ,7.08   ,7.00   ,6.37
200211   ,6.37   ,4.09   ,5.54   ,6.65   ,5.55   ,3.67
200212  ,-2.35  ,-0.76  ,-1.97  ,-4.61  ,-4.55  ,-3.94
200301  ,-0.64  ,-0.28  ,-1.22  ,-2.26  ,-3.21  ,-2.82
200302  ,-0.75  ,-0.20  ,-1.76  ,-2.13  ,-2.23  ,-0.99
200303   ,0.44   ,0.12  ,-0.77  ,-0.76  ,-0.15   ,0.02
200304   ,9.07   ,7.97   ,8.70   ,8.83   ,9.13   ,8.42
200305  ,10.66   ,8.20  ,10.57   ,8.01   ,4.99   ,6.89
200306   ,4.62   ,3.86   ,3.83   ,1.53   ,1.81   ,2.47
200307   ,5.89   ,3.71   ,4.47   ,2.68   ,2.01   ,1.19
200308   ,7.00   ,4.61   ,5.12   ,3.10   ,2.43   ,1.63
200309   ,4.08   ,3.92   ,3.51   ,0.32   ,1.01   ,1.53
200310   ,8.02   ,6.07   ,7.40   ,7.57   ,5.18   ,4.75
200311   ,1.14   ,2.64   ,1.46   ,2.69   ,1.66   ,1.14
200312   ,4.49   ,4.39   ,4.38   ,6.61   ,5.32   ,5.78
200401   ,7.56   ,3.96   ,4.12   ,2.88   ,1.72   ,1.67
200402   ,1.61   ,2.54   ,2.43   ,0.95   ,2.32   ,2.44
200403   ,3.03   ,3.03   ,3.88  ,-1.70  ,-0.25   ,0.16
200404  ,-3.78  ,-2.64  ,-2.83  ,-2.15  ,-2.56  ,-1.51
200405  ,-1.31   ,0.17  ,-0.43   ,0.99   ,0.94   ,1.01
200406   ,5.11   ,4.14   ,4.68   ,2.11   ,2.10   ,2.36
200407  ,-5.67  ,-3.72  ,-5.37  ,-4.13  ,-3.02  ,-3.70
200408  ,-0.32   ,0.63  ,-0.14  ,-0.18   ,0.79   ,0.65
200409   ,3.50   ,3.07   ,3.70   ,2.35   ,1.94   ,2.40
200410   ,3.12   ,3.09   ,2.99   ,3.42   ,2.51   ,2.13
200411   ,8.05   ,7.52   ,7.57   ,5.52   ,5.18   ,5.17
200412   ,4.42   ,3.95   ,3.95   ,4.03   ,3.90   ,3.94
200501   ,0.00   ,0.59   ,0.33  ,-2.54  ,-1.45  ,-2.41
200502   ,3.81   ,3.48   ,3.68   ,3.27   ,3.42   ,2.37
200503  ,-2.25  ,-1.12  ,-2.54  ,-1.34  ,-1.79  ,-2.16
200504  ,-3.84  ,-2.75  ,-3.09  ,-2.25  ,-2.31  ,-2.32
200505   ,1.41   ,0.76   ,0.60   ,1.94   ,1.54   ,2.06
200506   ,3.65   ,2.77   ,3.69   ,1.64   ,0.91   ,1.47
200507   ,4.94   ,4.32   ,4.93   ,3.11   ,3.82   ,4.03
200508   ,2.27   ,1.78   ,1.77   ,1.35   ,1.30   ,1.09
200509   ,2.20   ,1.85   ,2.44   ,1.92   ,2.16   ,3.27
200510  ,-2.50  ,-1.76  ,-2.96  ,-1.99  ,-2.71  ,-2.27
200511   ,3.30   ,2.72   ,3.57   ,2.45   ,3.04   ,4.33
200512   ,4.68   ,4.24   ,5.14   ,2.59   ,2.24   ,3.52
200601   ,6.76   ,7.14   ,8.48   ,4.31   ,4.52   ,4.86
200602   ,0.10  ,-0.54  ,-1.13  ,-0.11  ,-0.07  ,-0.01
200603   ,4.66   ,4.37   ,4.81   ,2.50   ,2.38   ,3.03
200604   ,3.08   ,3.76   ,3.95   ,3.12   ,3.31   ,2.99
200605  ,-5.78  ,-4.54  ,-6.18  ,-2.63  ,-3.16  ,-4.79
200606  ,-1.88  ,-1.45  ,-1.70   ,0.00  ,-0.24   ,0.37
200607  ,-1.85  ,-1.91  ,-3.39  ,-0.02   ,0.95  ,-0.09
200608   ,2.89   ,2.70   ,2.84   ,3.60   ,2.15   ,2.43
200609   ,0.32   ,0.27  ,-0.90   ,1.94   ,0.84   ,0.88
200610   ,4.05   ,3.81   ,4.66   ,3.45   ,3.40   ,4.54
200611   ,3.24   ,3.21   ,2.72   ,2.34   ,2.58   ,3.37
200612   ,2.08   ,2.34   ,2.05   ,2.77   ,2.08   ,2.07
200701   ,2.94   ,2.18   ,1.91   ,1.51   ,1.13   ,1.28
200702   ,1.49   ,1.34   ,0.88  ,-0.47  ,-0.44   ,0.02
200703   ,2.60   ,2.48   ,2.11   ,1.63   ,2.33   ,2.53
200704   ,3.23   ,3.38   ,3.65   ,4.44   ,4.50   ,3.54
200705   ,2.28   ,2.33   ,2.34   ,3.07   ,2.64   ,3.41
200706   ,0.60   ,0.38   ,0.52  ,-1.02  ,-0.29  ,-0.28
200707  ,-1.95  ,-1.83  ,-1.76  ,-2.70  ,-1.97  ,-1.20
