This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200912   ,6.74   ,6.17   ,7.44   ,4.43   ,4.21   ,4.79
201001  ,-1.38  ,-3.39  ,-3.03  ,-2.38  ,-5.65  ,-5.31
201002   ,2.91   ,3.11   ,2.05  ,-1.00   ,0.08   ,2.38
201003   ,8.59   ,8.00   ,6.97   ,7.14   ,8.14   ,8.84
201004   ,3.60   ,3.44   ,2.51   ,1.99   ,1.81   ,0.00
201005 ,-11.06  ,-9.60 ,-10.31  ,-7.97  ,-8.52  ,-9.58
201006   ,0.37   ,1.12   ,0.75  ,-0.08   ,0.11  ,-1.34
201007   ,7.59   ,7.28   ,5.91  ,10.51   ,7.65   ,7.48
201008  ,-0.03   ,0.22  ,-1.27  ,-1.36  ,-1.73  ,-1.53
201009  ,10.89  ,10.29  ,10.83  ,12.65  ,10.52  ,11.40
201010   ,3.56   ,5.17   ,5.54   ,3.14   ,2.44   ,3.26
201011  ,-2.20  ,-2.58  ,-2.94  ,-2.51  ,-1.74  ,-2.91
201012   ,6.27   ,5.91   ,5.42   ,8.75   ,7.21   ,6.15
201101  ,-2.00  ,-2.15  ,-2.11  ,-2.82  ,-2.23  ,-2.22
201102  ,-3.23  ,-2.65  ,-3.19  ,-1.94  ,-1.75  ,-0.79
201103   ,3.68   ,2.83   ,3.45   ,5.86   ,5.41   ,6.26
201104   ,4.21   ,4.58   ,4.27   ,5.07   ,2.55   ,4.32
201105  ,-2.30  ,-2.61  ,-3.79  ,-2.89  ,-1.90  ,-3.38
201106  ,-1.80  ,-1.33  ,-2.65  ,-1.31  ,-1.69  ,-1.04
201107   ,2.36   ,1.44   ,1.19  ,-0.11   ,0.29   ,0.24
201108  ,-8.96  ,-9.82 ,-10.99  ,-8.16  ,-8.91 ,-10.10
201109 ,-14.25 ,-15.94 ,-16.82 ,-12.57 ,-14.50 ,-17.49
201110   ,8.70   ,9.95  ,10.32  ,10.32  ,13.20  ,13.74
201111  ,-5.73  ,-6.89  ,-6.60  ,-6.35  ,-6.15  ,-6.81
201112  ,-0.01  ,-0.16  ,-2.60  ,-0.67  ,-0.84  ,-2.85
201201   ,8.65   ,9.94   ,9.89  ,10.60  ,10.84  ,13.08
201202   ,8.17   ,8.24   ,8.33   ,5.22   ,6.41   ,6.77
201203  ,-2.98  ,-1.99  ,-2.95  ,-3.22  ,-2.95  ,-2.74
201204  ,-2.11  ,-1.72  ,-2.90  ,-0.70  ,-1.11  ,-3.30
201205  ,-8.76  ,-8.65 ,-10.32 ,-10.57 ,-10.68 ,-10.23
201206   ,3.74   ,3.56   ,2.98   ,3.34   ,4.42   ,2.83
201207  ,-1.61  ,-0.70  ,-0.85   ,1.64   ,2.14   ,0.42
201208   ,2.60   ,3.07   ,3.48  ,-0.16   ,0.12   ,1.12
201209   ,5.19   ,5.16   ,5.22   ,6.22   ,5.59   ,6.10
201210  ,-0.43  ,-0.46   ,0.24  ,-0.45  ,-0.62  ,-1.29
201211   ,0.51   ,1.12  ,-0.23   ,1.22   ,1.31   ,0.79
201212   ,4.53   ,5.09   ,5.38   ,5.71   ,5.20   ,4.42
201301   ,4.07   ,2.50   ,2.60   ,2.31   ,0.91   ,2.51
201302   ,0.77   ,0.75   ,1.42  ,-0.79  ,-1.05  ,-1.21
201303   ,0.42   ,0.25  ,-1.40  ,-0.78  ,-1.38  ,-1.59
201304   ,1.98   ,2.04   ,1.32   ,0.98   ,1.19   ,0.65
201305   ,0.99  ,-0.36  ,-0.96  ,-1.79  ,-2.56  ,-1.40
201306  ,-7.09  ,-6.46  ,-7.90  ,-6.09  ,-6.50  ,-6.41
201307   ,1.36   ,1.36   ,1.74   ,2.11   ,1.50   ,1.39
201308  ,-2.77  ,-3.30  ,-3.48  ,-2.64  ,-2.56  ,-2.02
201309   ,6.90   ,6.49   ,5.74   ,6.53   ,6.93   ,7.05
201310   ,2.57   ,3.67   ,2.73   ,3.14   ,4.36   ,5.30
201311  ,-0.96  ,-1.25  ,-2.86  ,-2.29  ,-1.69  ,-0.64
201312   ,1.19   ,0.89   ,0.59   ,0.71  ,-1.46  ,-0.39
201401  ,-1.79  ,-2.96  ,-3.34  ,-6.80  ,-6.72  ,-5.34
201402   ,4.73   ,4.40   ,4.17   ,3.06   ,2.43   ,5.24
201403   ,2.03   ,1.92   ,3.42   ,3.82   ,3.30   ,0.84
201404   ,0.64   ,0.74   ,0.56   ,0.33   ,0.85   ,0.31
201405   ,4.83   ,4.09   ,4.27   ,3.46   ,3.53   ,4.44
201406   ,2.50   ,2.84   ,2.89   ,3.49   ,3.09   ,2.91
201407  ,-0.10   ,0.02  ,-0.60   ,2.18   ,2.18   ,1.22
201408   ,2.27   ,2.46   ,2.47   ,2.72   ,2.55   ,1.05
201409  ,-3.70  ,-3.55  ,-4.36  ,-6.55  ,-6.95  ,-5.80
201410  ,-2.01  ,-1.91  ,-0.71   ,0.56   ,0.05   ,1.96
201411  ,-2.75  ,-2.86  ,-2.39  ,-0.28  ,-1.31  ,-0.89
201412  ,-2.94  ,-3.71  ,-3.42  ,-2.30  ,-5.03  ,-3.86
201501   ,0.72   ,0.16   ,0.10   ,1.19   ,0.53   ,0.97
201502   ,2.34   ,2.42   ,1.76   ,2.36   ,3.11   ,1.97
201503  ,-0.14  ,-0.04  ,-0.80  ,-1.81  ,-1.83   ,0.53
201504   ,8.88   ,9.41   ,8.61   ,7.45   ,7.35   ,6.47
201505   ,1.42  ,-0.18   ,1.52  ,-3.53  ,-3.05  ,-3.50
201506  ,-1.90  ,-3.34  ,-3.34  ,-2.59  ,-2.54  ,-1.65
201507  ,-6.61  ,-7.01  ,-7.18  ,-6.90  ,-6.60  ,-6.79
201508  ,-9.53  ,-9.32 ,-10.77  ,-8.36  ,-8.95  ,-8.43
201509   ,0.50   ,0.52   ,0.15  ,-3.20  ,-2.13  ,-2.15
201510   ,5.85   ,6.03   ,5.83   ,5.87   ,7.13   ,8.17
201511  ,-1.50  ,-2.04  ,-1.41  ,-3.59  ,-3.99  ,-0.78
201512   ,0.59  ,-0.52  ,-0.22  ,-1.33  ,-1.94  ,-1.94
201601  ,-7.56  ,-8.13  ,-7.51  ,-4.39  ,-6.71  ,-6.09
201602  ,-0.38   ,0.12  ,-0.92   ,0.63  ,-1.12  ,-0.41
201603  ,10.16  ,11.12  ,10.00  ,11.79  ,13.15  ,11.29
201604   ,2.98   ,2.35   ,2.12   ,2.28   ,1.44   ,0.01
201605  ,-3.84  ,-3.39  ,-3.43  ,-4.81  ,-4.12  ,-1.65
201606   ,3.96   ,4.05   ,2.58   ,3.86   ,5.30   ,2.85
201607   ,4.75   ,4.96   ,3.90   ,5.17   ,4.88   ,4.03
201608   ,1.56   ,1.88   ,0.37   ,0.75   ,2.76   ,3.66
201609   ,1.93   ,1.97   ,1.69   ,0.83   ,0.73   ,2.04
201610   ,0.44  ,-0.79  ,-1.00   ,0.06   ,0.86  ,-1.69
201611  ,-3.87  ,-3.85  ,-4.84  ,-4.61  ,-3.39  ,-6.03
201612   ,0.86   ,1.52   ,1.05   ,0.64   ,0.85  ,-0.62
201701   ,6.22   ,4.82   ,3.04   ,5.95   ,4.77   ,5.58
201702   ,4.33   ,2.96   ,3.54   ,2.74   ,3.23   ,4.28
201703   ,2.72   ,3.53   ,2.47   ,2.98   ,2.55   ,3.03
201704   ,0.93   ,0.76   ,1.04   ,1.80   ,1.22   ,2.88
201705  ,-0.45   ,0.29   ,1.05   ,2.38   ,2.14   ,3.73
201706   ,0.36   ,0.34   ,0.06  ,-0.09   ,0.54   ,1.87
201707   ,3.16   ,3.05   ,2.73   ,5.01   ,4.05   ,7.88
201708   ,1.49   ,1.32   ,0.99   ,2.90   ,1.47   ,2.51
201709   ,0.48   ,0.98   ,1.16  ,-1.35  ,-0.19   ,0.08
201710   ,2.66   ,2.43   ,2.06   ,1.52   ,3.34   ,4.45
201711   ,0.62   ,0.92   ,0.55   ,0.06   ,0.34   ,0.90
201712   ,3.83   ,3.54   ,3.75   ,3.85   ,4.20   ,2.79
201801   ,5.37   ,5.75   ,8.03   ,8.48   ,7.44   ,8.29
201802  ,-3.03  ,-2.65  ,-3.30  ,-4.12  ,-4.44  ,-4.71
201803  ,-0.41  ,-0.70   ,0.72  ,-1.52  ,-0.89  ,-2.50
201804   ,0.22  ,-0.39   ,0.14   ,0.69   ,0.16  ,-2.20
201805  ,-2.01  ,-1.75  ,-0.65  ,-3.55  ,-4.45  ,-1.10
